"text","class"
"How hot is it today?","temperature"
"Will it be uncomfortably hot?","temperature"
"Will it be sweltering?","temperature"
"How cold is it today?","temperature"
"Is it cold outside?","temperature"
"Will it be uncomfortably cold?","temperature"
"Will it be frigid?","temperature"
"What is the expected temperature?","temperature"
"Will high temperatures be dangerous?","temperature"
"When will the heat subside?","temperature"
"Is it hot?","temperature"
"Is it cold?","temperature"
"Will we have a cold day today?","temperature"
"When will the cold subside?","temperature"
"What highs are we expecting?","temperature"
"What lows are we expecting?","temperature"
"Is it warm?","temperature"
"What's the current temp in Celsius?","temperature"
"What is the temperature in Fahrenheit?","temperature"
"Is it windy?","conditions"
"Will it rain today?","conditions"
"What are the chances for rain?","conditions"
"Will we get snow?","conditions"
"Are we expecting sunny conditions?","conditions"
"Is it overcast?","conditions"
"Will it be cloudy?","conditions"
"How much snow are we expecting?","conditions"
"Is it windy outside?","conditions"
"How much snow do we expect?","conditions"
"Will we see some sun?","conditions"
"When will the rain subside?","conditions"
"Is it cloudy?","conditions"
"Is it sunny now?","conditions"
"Will we have much snow?","conditions"
"Are the winds dangerous?","conditions"
"Will it be breezy?","conditions"
"Will it be humid?","conditions"
"What is today's expected humidity?","conditions"
"Will the blizzard hit us?","conditions"
"Is it drizzling?","conditions"
